2020-04-09 03:37:25,306 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 360 78 8
2020-04-09 03:37:27,512 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 392 64 168
2020-04-09 03:40:50,215 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 264 67 216
2020-04-09 03:41:35,453 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 472 85 72
2020-04-09 03:44:57,034 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 504 70 152
2020-04-09 03:44:57,126 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 504 69 168
2020-04-09 03:47:03,008 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: 185 31 -256
2020-04-09 03:48:09,209 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 88 68 -216
2020-04-09 04:10:53,407 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! RARE chest at coords: 40 46 174
2020-04-09 04:21:17,870 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 376 66 248
2020-04-09 04:26:53,868 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 184 74 312
2020-04-09 04:26:55,388 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 248 84 376
2020-04-09 04:26:56,373 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 360 71 376
2020-04-09 04:26:57,599 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 456 70 264
2020-04-09 04:32:56,368 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: 584 81 -136
2020-04-09 04:37:13,029 [Server thread] WARN GottschCore | LootTableManager.java:122 | Couldn't find resource table treasure2:potions/common
2020-04-09 04:37:13,030 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 488 65 392
2020-04-09 04:37:22,185 [Server thread] INFO Treasure2 | WitherTreeWorldGenerator.java:354 | CHEATER! wither chest at coords: 120 68 376
2020-04-09 04:37:22,288 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 168 70 376
2020-04-09 04:58:03,631 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 632 123 120
2020-04-09 04:59:30,401 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 648 64 216
2020-04-09 05:01:53,986 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 152 65 472
2020-04-09 05:06:18,635 [Server thread] ERROR GottschCore | LootTableMaster.java:249 | Unable to locate resource /loot_tables/mocreatures/treasure/
2020-04-09 05:06:18,645 [Server thread] ERROR GottschCore | LootTableMaster.java:249 | Unable to locate resource /loot_tables/mocreatures/potions/
2020-04-09 05:06:18,648 [Server thread] ERROR GottschCore | LootTableMaster.java:249 | Unable to locate resource /loot_tables/mocreatures/chests/special/
2020-04-09 05:06:18,686 [Server thread] ERROR GottschCore | AbstractResourceManager.java:173 | Unable to locate resource /structures/treasure2/float/
2020-04-09 05:06:19,658 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2020-04-09 05:06:20,542 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
2020-04-09 05:08:46,073 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 424 73 536
2020-04-09 05:08:48,830 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 552 72 520
2020-04-09 05:08:49,381 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 580 72 440
2020-04-09 05:08:51,257 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 632 73 440
2020-04-09 05:08:53,200 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 696 70 488
2020-04-09 05:11:52,948 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: 48 46 472
2020-04-09 05:23:50,144 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 8 63 -168
2020-04-09 05:26:21,260 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 712 69 264
2020-04-09 05:26:56,853 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 792 63 104
2020-04-09 05:29:23,597 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 808 70 344
2020-04-09 05:34:13,921 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! EPIC chest at coords: 776 69 504
2020-04-09 05:34:29,427 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 664 71 584
2020-04-09 05:34:31,082 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 824 69 310
2020-04-09 05:34:32,251 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 760 65 616
2020-04-09 05:34:38,657 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 552 71 600
2020-04-09 05:35:30,055 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 600 71 664
2020-04-09 05:35:35,233 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 680 68 680
2020-04-09 05:52:25,668 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 664 91 -152
2020-04-09 05:53:26,812 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 712 87 -216
2020-04-09 05:54:16,074 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! EPIC chest at coords: 768 57 -120
2020-04-09 05:54:18,756 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 824 71 248
2020-04-09 05:54:20,807 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 888 66 168
2020-04-09 05:54:31,077 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 888 73 344
2020-04-09 05:54:37,258 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 886 63 376
2020-04-09 05:55:13,474 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-04-09 05:55:13,475 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: 968 64 248
2020-04-09 05:55:45,916 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 72 63 -280
2020-04-09 05:58:29,432 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! RARE chest at coords: 67 48 568
2020-04-09 05:59:11,619 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: -34 37 632
2020-04-09 06:24:20,865 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 168 65 520
2020-04-09 15:39:53,489 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 952 63 792
2020-04-09 15:39:55,394 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! EPIC chest at coords: 1000 62 888
2020-04-09 15:39:56,535 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1048 71 776
2020-04-09 15:40:04,890 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 968 72 712
2020-04-09 15:40:05,140 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 840 70 824
2020-04-09 15:40:07,466 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 824 64 760
2020-04-09 15:40:11,264 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1224 69 872
2020-04-09 15:40:22,430 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1176 70 792
2020-04-09 15:40:59,598 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 760 65 856
2020-04-09 15:51:46,411 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 296 64 520
2020-04-09 15:52:10,224 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-04-09 15:52:10,225 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: 280 50 608
2020-04-09 15:53:54,019 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 408 66 632
2020-04-09 15:58:30,622 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 600 63 744
2020-04-09 15:58:51,755 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-04-09 15:58:51,755 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! RARE chest at coords: 306 32 760
2020-04-09 16:20:51,120 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 726 66 710
2020-04-09 16:21:07,717 [Server thread] WARN GottschCore | LootTableManager.java:122 | Couldn't find resource table treasure2:potions/common
2020-04-09 16:21:07,717 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-04-09 16:21:07,717 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 728 64 744
2020-04-09 16:22:04,758 [Server thread] WARN GottschCore | LootTableManager.java:122 | Couldn't find resource table treasure2:treasure/epic
2020-04-09 16:22:04,760 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! EPIC chest at coords: 664 67 904
2020-04-09 16:25:25,101 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 904 85 424
2020-04-09 16:25:26,586 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 952 72 520
2020-04-09 16:26:35,362 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 904 68 632
2020-04-09 16:27:20,445 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-04-09 16:27:20,445 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: 1048 67 584
2020-04-09 16:27:30,381 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: 1060 47 451
2020-04-09 16:31:25,057 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! EPIC chest at coords: 105 48 672
2020-04-09 16:53:57,419 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1128 71 632
2020-04-09 16:58:51,781 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 808 63 1000
2020-04-09 17:02:56,190 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 760 65 1064
2020-04-09 17:02:56,706 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 838 64 1064
2020-04-09 17:02:56,768 [Server thread] INFO Treasure2 | WitherTreeWorldGenerator.java:354 | CHEATER! wither chest at coords: 840 67 1080
2020-04-09 17:02:58,792 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-04-09 17:02:58,792 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 664 66 1064
2020-04-09 17:03:04,384 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 744 68 1144
2020-04-09 17:46:55,501 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 584 64 -264
2020-04-09 17:47:28,635 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 600 72 -392
2020-04-09 17:47:30,297 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 696 76 -392
2020-04-09 18:09:19,005 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 536 64 -488
2020-04-09 18:09:24,385 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 296 78 -536
2020-04-09 18:09:28,235 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 310 78 -570
2020-04-09 18:09:31,660 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 408 66 -584
2020-04-09 18:09:35,311 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: 520 64 -616
2020-04-09 18:09:47,057 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 248 74 -648
2020-04-09 18:09:57,096 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 184 95 -520
2020-04-09 18:10:00,554 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 136 68 -616
2020-04-09 18:10:52,180 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 616 64 -536
2020-04-09 18:11:00,905 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 568 67 -712
2020-04-09 18:11:02,748 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 632 63 -632
2020-04-09 18:29:04,068 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! RARE chest at coords: 72 40 611
2020-04-09 20:05:34,917 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: 1246 52 568
2020-04-09 20:08:29,143 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1272 70 696
2020-04-09 21:04:03,990 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 616 63 968
2020-04-09 23:34:21,633 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1304 69 824
2020-04-09 23:34:29,623 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: 1352 66 744
2020-04-10 03:51:52,004 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 760 102 -200
2020-04-10 03:57:33,505 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 872 78 -216
2020-04-10 03:57:36,091 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 968 64 -104
2020-04-10 03:57:40,936 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1000 63 -8
2020-04-10 03:57:57,014 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: 1022 31 232
2020-04-10 04:11:50,177 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 904 94 -328
2020-04-10 04:12:04,787 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1000 64 -328
2020-04-10 04:18:09,017 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! EPIC chest at coords: 1112 70 -184
2020-04-10 04:19:27,834 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1112 90 -72
2020-04-10 07:45:47,969 [Server thread] ERROR GottschCore | LootTableMaster.java:249 | Unable to locate resource /loot_tables/mocreatures/treasure/
2020-04-10 07:45:47,974 [Server thread] ERROR GottschCore | LootTableMaster.java:249 | Unable to locate resource /loot_tables/mocreatures/potions/
2020-04-10 07:45:47,976 [Server thread] ERROR GottschCore | LootTableMaster.java:249 | Unable to locate resource /loot_tables/mocreatures/chests/special/
2020-04-10 07:45:47,995 [Server thread] ERROR GottschCore | AbstractResourceManager.java:173 | Unable to locate resource /structures/treasure2/float/
2020-04-10 07:45:48,389 [Server thread] INFO GottschCore | VersionChecker.java:110 | [gottschcore] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-GottschCore/master/GottschCore1.12.2/update.json
2020-04-10 07:45:49,158 [Server thread] INFO GottschCore | VersionChecker.java:110 | [treasure2] Starting version check at https://raw.githubusercontent.com/gottsch/gottsch-minecraft-Treasure/master/Treasure2-1.12.2/update.json
2020-04-10 19:46:32,394 [Server thread] WARN GottschCore | LootTable.java:71 | Tried to over-fill a container
2020-04-10 19:46:32,395 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! RARE chest at coords: 1139 35 162
2020-04-10 19:48:00,177 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 1160 63 40
2020-04-10 19:48:03,854 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 1208 69 200
2020-04-10 19:48:30,594 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1240 70 216
2020-04-10 19:48:38,140 [Server thread] WARN GottschCore | LootTableManager.java:122 | Couldn't find resource table treasure2:treasure/epic
2020-04-10 19:48:38,143 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! EPIC chest at coords: 1219 47 370
2020-04-10 19:48:41,394 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1304 66 104
2020-04-10 19:48:43,108 [Server thread] WARN GottschCore | LootTableManager.java:122 | Couldn't find resource table treasure2:potions/common
2020-04-10 19:48:43,108 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1352 67 200
2020-04-10 19:49:09,875 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1256 73 24
2020-04-10 19:50:41,603 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 1304 65 -40
2020-04-10 19:51:06,194 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1160 72 -56
2020-04-10 19:52:34,416 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1272 68 -120
2020-04-10 19:52:54,781 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1208 74 -184
2020-04-10 19:53:51,125 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 1366 64 -56
2020-04-10 19:55:22,252 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 1160 63 -344
